Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product Origin Country,Product Material,Product Collection Id,Product Type Id,Product Discountable,Product External Id,Product Created At,Product Deleted At,Product Hs Code,Product Image 1,Product Image 10,Product Image 2,Product Image 3,Product Image 4,Product Image 5,Product Image 6,Product Image 7,Product Image 8,Product Image 9,Product Is Giftcard,Product Mid Code,Product Sales Channel 1,Product Updated At,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price EUR,Variant Price Europe [EUR],Variant Price USD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01K6T12DNZJS6D6N6JRXMCEX2X,16-ultra-slim-ai-laptop-3k-oled-11cm-thin-6-speaker-audio,"16"" Ultra-Slim AI Laptop | 3K OLED | 1.1cm Thin | 6-Speaker Audio",,"This ultra-thin 16-inch laptop is a sophisticated, high-performance machine for the new era of artificial intelligence. It has been completely redesigned from the inside out. The cabinet features an exquisite new ceramic-aluminum composite material in a range of nature-inspired colors. This material provides durability while completing the ultra-slim design and resisting the test of time. This innovative computer utilizes the latest AI-enhanced processor with quiet ambient cooling. It's designed to enrich your lifestyle on the go with an astonishingly thin 1.1cm chassis that houses an advanced 16-inch 3K OLED display and immersive six-speaker audio.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-front.png,400,,,,,,pcol_01K6T12DMYFVYE897XQ1WX5K40,,true,,2025-10-05T11:10:51.076Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-front.png,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-top.png,,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T11:10:51.076Z,variant_01K6T12DQCNMVT6AQSX2Z7Q0W5,256 GB / Blue,256-BLUE,,,,,false,false,,2025-10-05T11:10:51.117Z,,,,,,Storage,256 GB,Color,Blue,,1299,,1299,prod_01K6T12DNZJS6D6N6JRXMCEX2X,2025-10-05T11:10:51.117Z,0,,
prod_01K6T12DNZJS6D6N6JRXMCEX2X,16-ultra-slim-ai-laptop-3k-oled-11cm-thin-6-speaker-audio,"16"" Ultra-Slim AI Laptop | 3K OLED | 1.1cm Thin | 6-Speaker Audio",,"This ultra-thin 16-inch laptop is a sophisticated, high-performance machine for the new era of artificial intelligence. It has been completely redesigned from the inside out. The cabinet features an exquisite new ceramic-aluminum composite material in a range of nature-inspired colors. This material provides durability while completing the ultra-slim design and resisting the test of time. This innovative computer utilizes the latest AI-enhanced processor with quiet ambient cooling. It's designed to enrich your lifestyle on the go with an astonishingly thin 1.1cm chassis that houses an advanced 16-inch 3K OLED display and immersive six-speaker audio.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-front.png,400,,,,,,pcol_01K6T12DMYFVYE897XQ1WX5K40,,true,,2025-10-05T11:10:51.076Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-front.png,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-top.png,,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T11:10:51.076Z,variant_01K6T12DQDV3P6CQYNQHV7Y487,512 GB / Red,512-RED,,,,,false,false,,2025-10-05T11:10:51.117Z,,,,,,Storage,512 GB,Color,Red,,1259,,1259,prod_01K6T12DNZJS6D6N6JRXMCEX2X,2025-10-05T11:10:51.117Z,0,,
prod_01K6T12DS0FTAFXY5BNMR3K2X2,1080p-hd-pro-webcam-superior-video-privacy-enabled,1080p HD Pro Webcam | Superior Video | Privacy enabled,,"High-quality 1080p HD webcam that elevates your work environment with superior video and audio that outperforms standard laptop cameras. Achieve top-tier video collaboration at a cost-effective price point, ideal for widespread deployment across your organization.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-front.png,400,,,,,,,,true,,2025-10-05T11:10:51.169Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-front.png,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-side.png,,,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T11:10:51.169Z,variant_01K6T12DSMTEEW58VHDED22ZPF,Webcam Black,WEBCAM-BLACK,,,,,false,false,,2025-10-05T11:10:51.189Z,,,,,,Color,Black,,,,59,,59,prod_01K6T12DS0FTAFXY5BNMR3K2X2,2025-10-05T11:10:51.189Z,0,,
prod_01K6T12DS0FTAFXY5BNMR3K2X2,1080p-hd-pro-webcam-superior-video-privacy-enabled,1080p HD Pro Webcam | Superior Video | Privacy enabled,,"High-quality 1080p HD webcam that elevates your work environment with superior video and audio that outperforms standard laptop cameras. Achieve top-tier video collaboration at a cost-effective price point, ideal for widespread deployment across your organization.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-front.png,400,,,,,,,,true,,2025-10-05T11:10:51.169Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-front.png,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-side.png,,,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T11:10:51.169Z,variant_01K6T12DSNKPPR6YY76A56TZ4A,Webcam White,WEBCAM-WHITE,,,,,false,false,,2025-10-05T11:10:51.189Z,,,,,,Color,White,,,,65,,65,prod_01K6T12DS0FTAFXY5BNMR3K2X2,2025-10-05T11:10:51.189Z,0,,
prod_01K6T12DTV5D0TMRKCG4YSKC12,65-ultra-hd-smartphone-3x-impact-resistant-screen,"6.5"" Ultra HD Smartphone | 3x Impact-Resistant Screen",,"This premium smartphone is crafted from durable and lightweight aerospace-grade aluminum, featuring an expansive 6.5"" Ultra-High Definition AMOLED display. It boasts exceptional durability with a cutting-edge nanocrystal glass front, offering three times the impact resistance of standard smartphone screens. The device combines sleek design with robust protection, setting a new standard for smartphone resilience and visual excellence. Copy",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-front.png,400,,,,,,pcol_01K6T12DMYFVYE897XQ1WX5K40,,true,,2025-10-05T11:10:51.229Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-front.png,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-bottom.png,,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T11:10:51.229Z,variant_01K6T12DVHZV9ZNFSWZT4CWE4W,256 GB Purple,PHONE-256-PURPLE,,,,,false,false,,2025-10-05T11:10:51.249Z,,,,,,Memory,256 GB,Color,Purple,,999,,999,prod_01K6T12DTV5D0TMRKCG4YSKC12,2025-10-05T11:10:51.249Z,0,,
prod_01K6T12DTV5D0TMRKCG4YSKC12,65-ultra-hd-smartphone-3x-impact-resistant-screen,"6.5"" Ultra HD Smartphone | 3x Impact-Resistant Screen",,"This premium smartphone is crafted from durable and lightweight aerospace-grade aluminum, featuring an expansive 6.5"" Ultra-High Definition AMOLED display. It boasts exceptional durability with a cutting-edge nanocrystal glass front, offering three times the impact resistance of standard smartphone screens. The device combines sleek design with robust protection, setting a new standard for smartphone resilience and visual excellence. Copy",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-front.png,400,,,,,,pcol_01K6T12DMYFVYE897XQ1WX5K40,,true,,2025-10-05T11:10:51.229Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-front.png,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-bottom.png,,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T11:10:51.229Z,variant_01K6T12DVHSV46W9R920F2PP4R,256 GB Red,PHONE-256-RED,,,,,false,false,,2025-10-05T11:10:51.249Z,,,,,,Memory,256 GB,Color,Red,,959,,959,prod_01K6T12DTV5D0TMRKCG4YSKC12,2025-10-05T11:10:51.249Z,0,,
prod_01K6T12DWTKJNBKKWPV3XDKB1A,34-qd-oled-curved-gaming-monitor-ultra-wide-infinite-contrast-175hz,"34"" QD-OLED Curved Gaming Monitor | Ultra-Wide | Infinite Contrast | 175Hz",,"Experience the pinnacle of display technology with this 34-inch curved monitor. By merging OLED panels and Quantum Dot technology, this QD-OLED screen delivers exceptional contrast, deep blacks, unlimited viewing angles, and vivid colors. The curved design provides an immersive experience, allowing you to enjoy the best of both worlds in one cutting-edge display. This innovative monitor represents the ultimate fusion of visual performance and immersive design.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-front.png,400,,,,,,pcol_01K6T12DMYFVYE897XQ1WX5K40,,true,,2025-10-05T11:10:51.291Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-front.png,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-top.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-back.png,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T11:10:51.291Z,variant_01K6T12DXDNKKRKTM1J1M2R9FN,ACME Monitor 4k White,ACME-MONITOR-WHITE,,,,,false,false,,2025-10-05T11:10:51.309Z,,,,,,Color,White,,,,599,,599,prod_01K6T12DWTKJNBKKWPV3XDKB1A,2025-10-05T11:10:51.309Z,0,,
prod_01K6T12DWTKJNBKKWPV3XDKB1A,34-qd-oled-curved-gaming-monitor-ultra-wide-infinite-contrast-175hz,"34"" QD-OLED Curved Gaming Monitor | Ultra-Wide | Infinite Contrast | 175Hz",,"Experience the pinnacle of display technology with this 34-inch curved monitor. By merging OLED panels and Quantum Dot technology, this QD-OLED screen delivers exceptional contrast, deep blacks, unlimited viewing angles, and vivid colors. The curved design provides an immersive experience, allowing you to enjoy the best of both worlds in one cutting-edge display. This innovative monitor represents the ultimate fusion of visual performance and immersive design.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-front.png,400,,,,,,pcol_01K6T12DMYFVYE897XQ1WX5K40,,true,,2025-10-05T11:10:51.291Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-front.png,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-top.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-back.png,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T11:10:51.291Z,variant_01K6T12DXDAMARJN7YZG83C4G7,ACME Monitor 4k White,ACME-MONITOR-BLACK,,,,,false,false,,2025-10-05T11:10:51.310Z,,,,,,Color,Black,,,,599,,599,prod_01K6T12DWTKJNBKKWPV3XDKB1A,2025-10-05T11:10:51.310Z,0,,
prod_01K6T12DYPKZF8AD2D558W95AS,hi-fi-gaming-headset-pro-grade-dac-hi-res-certified,Hi-Fi Gaming Headset | Pro-Grade DAC | Hi-Res Certified,,"Experience studio-quality audio with this advanced acoustic system, which pairs premium hardware with high-fidelity sound and innovative audio software for an immersive listening experience. The integrated digital-to-analog converter (DAC) enhances the audio setup with high-resolution certification and a built-in amplifier, delivering exceptional sound clarity and depth. This comprehensive audio solution brings professional-grade sound to your personal environment, whether for gaming, music production, or general entertainment.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-front.png,400,,,,,,pcol_01K6T12DMYFVYE897XQ1WX5K40,,true,,2025-10-05T11:10:51.351Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-front.png,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-top.png,,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T11:10:51.351Z,variant_01K6T12DZ8DJRS3J1M8Q02ASGQ,Headphone Black,HEADPHONE-BLACK,,,,,false,false,,2025-10-05T11:10:51.369Z,,,,,,Color,Black,,,,149,,149,prod_01K6T12DYPKZF8AD2D558W95AS,2025-10-05T11:10:51.369Z,0,,
prod_01K6T12DYPKZF8AD2D558W95AS,hi-fi-gaming-headset-pro-grade-dac-hi-res-certified,Hi-Fi Gaming Headset | Pro-Grade DAC | Hi-Res Certified,,"Experience studio-quality audio with this advanced acoustic system, which pairs premium hardware with high-fidelity sound and innovative audio software for an immersive listening experience. The integrated digital-to-analog converter (DAC) enhances the audio setup with high-resolution certification and a built-in amplifier, delivering exceptional sound clarity and depth. This comprehensive audio solution brings professional-grade sound to your personal environment, whether for gaming, music production, or general entertainment.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-front.png,400,,,,,,pcol_01K6T12DMYFVYE897XQ1WX5K40,,true,,2025-10-05T11:10:51.351Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-front.png,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-top.png,,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T11:10:51.351Z,variant_01K6T12DZ8A9Q7V62QZ98FY0FN,Headphone White,HEADPHONE-WHITE,,,,,false,false,,2025-10-05T11:10:51.369Z,,,,,,Color,White,,,,149,,149,prod_01K6T12DYPKZF8AD2D558W95AS,2025-10-05T11:10:51.369Z,0,,
